16:45:05.189 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:45:05.190 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
16:45:06.342 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarted,61] - Started CzhToolApplicationTests in 1.314 seconds (JVM running for 1.761)
16:45:06.433 [main] INFO  c.c.t.c.t.a.SystemLogAspect - [contextLoads,15] - 111
16:45:26.167 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:45:26.167 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarting,55] - Starting CzhToolApplicationTests using Java 1.8.0_381 on czhdeMacBook-Pro.local with PID 99512 (started by czh in /Users/czh/czh-tool)
16:45:26.168 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
16:45:27.305 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarted,61] - Started CzhToolApplicationTests in 1.313 seconds (JVM running for 1.744)
16:45:27.385 [main] INFO  c.c.t.c.t.a.SystemLogAspect - [contextLoads,15] - 111
16:47:24.102 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:47:24.103 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarting,55] - Starting CzhToolApplicationTests using Java 1.8.0_381 on czhdeMacBook-Pro.local with PID 99903 (started by czh in /Users/czh/czh-tool)
16:47:24.104 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
16:47:25.279 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarted,61] - Started CzhToolApplicationTests in 1.336 seconds (JVM running for 1.758)
16:47:25.362 [main] INFO  c.c.t.c.t.a.SystemLogAspect - [contextLoads,15] - 111
16:47:34.359 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:47:34.360 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarting,55] - Starting CzhToolApplicationTests using Java 1.8.0_381 on czhdeMacBook-Pro.local with PID 99938 (started by czh in /Users/czh/czh-tool)
16:47:34.361 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
16:47:35.492 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarted,61] - Started CzhToolApplicationTests in 1.298 seconds (JVM running for 1.729)
16:47:35.566 [main] INFO  c.c.t.c.t.a.SystemLogAspect - [contextLoads,15] - 111
16:48:07.154 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:48:07.153 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarting,55] - Starting CzhToolApplicationTests using Java 1.8.0_381 on czhdeMacBook-Pro.local with PID 153 (started by czh in /Users/czh/czh-tool)
16:48:07.155 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
16:48:08.295 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarted,61] - Started CzhToolApplicationTests in 1.301 seconds (JVM running for 1.734)
16:48:08.380 [main] INFO  c.c.t.c.t.a.SystemLogAspect - [contextLoads,15] - 111
16:49:04.167 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarting,55] - Starting CzhToolApplicationTests using Java 1.8.0_381 on czhdeMacBook-Pro.local with PID 341 (started by czh in /Users/czh/czh-tool)
16:49:04.167 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
16:49:04.169 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStartupProfileInfo,680] - No active profile set, falling back to 1 default profile: "default"
16:49:05.361 [main] INFO  c.c.t.c.CzhToolApplicationTests - [logStarted,61] - Started CzhToolApplicationTests in 1.358 seconds (JVM running for 1.785)
16:49:05.444 [main] INFO  c.c.t.c.t.a.SystemLogAspect - [contextLoads,15] - 111
